from,to,relation
Platzeck,KK,2
Platzeck,SPD,4
Pofalla,DB,2
Pofalla,KK,2
Pofalla,CDU,4
Pofalla,Merkel,99
Merkel,Pofalla,99
Preatorius,KK,2
Preatorius,Thinktanks,2
Preatorius,HTW,6
Tillich,KK,2
Tillich,CDU,4
Hasselfeldt,KK,1
Hasselfeldt,Kreuz,2
Hasselfeldt,CDU,4
Kampeter,KK,1
Kampeter,BDA,2
Kampeter,CDU,4
Kapferer,BDEW,2
Kapferer,KK,1
Kapferer,FDP,4
Kempf,KK,1
Kempf,BDI,2
Nemat,KK,1
Nemat,Telekom,2
Nemat,McKinsey,1
Reiche,KK,1
Reiche,VKU,2
Reiche,CDU,4
Röstel,KK,1
Röstel,Entwässerung,2
Röstel,Grünen,4
Schweitzer,KK,1
Schweitzer,DIHT,5
Schweitzer,Alba,2
Schweitzer,FDP,4
Grothus,KK,1
Grothus,BfB,5
Wodtke,KK,1
Wodtke,CDU,4
Wodtke,GZW,5
Herntier,Spremberger,2
Herntier,KK,1
Kreuzberg,KK,1
Kreuzberg,CDU,4
Priggen,KK,1
Priggen,Grünen,4
Priggen,LEE,5
Vassiliadis,KK,1
Vassiliadis,IG BCE,5
Vassiliadis,SPD,4
Scheidt,KK,1
Scheidt,Verdi,5
Scheidt,SPD,4
Scheidt,Eon,2
Körzell,KK,1
Körzell,DGB,2
Körzell,SPD,4
Kaiser,KK,1
Kaiser,Greenpeace,5
Weiger,KK,1
Weiger,BUND,5
Weiger,NE,5
Niebert,KK,1
Niebert,DNR,5
Niebert,ND,5
Niebert,Zü,6
Allmendinger,WZB,99
Allmendinger,Be,6
Schönefeld,KK,1
Schönefeld,BA,99
Matthes,KK,1
Matthes,Öko,6
Schellnhuber,KK,1
Schellnhuber,Klimaforschung,6
Schellnhuber,Po,6
Schellnhuber,SRC,6
Schellnhuber,IPCC,1
Niebuhr,Ki,6
Niebuhr,KK,1
Wehrspohn,Frauenhofer,6
Wehrspohn,KK,1
Wehrspohn,Hal,6
Lämmel,KK,1
Lämmel,CDU,4
Lämmel,WE,1
Lämmel,PKM,2
Lenz,KK,1
Lenz,CDU,4
Lenz,WE,1
Lenz,NE,2
Miersch,KK,1
Miersch,SPD,4